User_ID,Product_ID,Gender,Age,Purchase
1000001,P00248942,F,0-17,15200
1000003,P00193542,M,26-35,15227
1000015,P00334242,M,26-35,19653
1000019,P00112542,M,0-17,7746
1000022,P00351142,M,18-25,12099
1000062,P00036842,F,36-45,11694
1000068,P00248942,M,18-25,11429
1000069,P00184942,F,26-35,11715
1000073,P00351142,M,18-25,15900
1000101,P00278042,F,18-25,19464
1000142,P00184942,M,26-35,12025
1000157,P00140042,M,36-45,15544
1000163,P00309142,M,18-25,8305
1000165,P00110942,M,18-25,11516
1000179,P00105142,M,26-35,11687
1000190,P00059742,M,26-35,11823
1000202,P00277542,M,18-25,7784
1000205,P00112542,M,36-45,15735
1000217,P00334242,M,18-25,15222
1000219,P00351342,F,26-35,12108
1000220,P00334242,M,26-35,15828
1000222,P00114342,M,26-35,15204
1000225,P00242742,M,26-35,4293
1000231,P00270942,M,26-35,11516
1000242,P00167942,F,18-25,15896
1000257,P00046142,M,18-25,19200
1000261,P00233442,M,26-35,12102
1000272,P00118442,M,18-25,11893
1000285,P00184442,F,36-45,3820
1000329,P00105142,M,36-45,7838
1000338,P00125942,M,36-45,15837
1000351,P00184942,M,18-25,19578
1000352,P00217342,M,18-25,11453
1000357,P00002042,M,18-25,4488
1000365,P00146742,F,18-25,15515
1000403,P00046142,M,18-25,15874
1000406,P00112142,M,26-35,15795
1000420,P00121342,M,36-45,15184
1000422,P00105142,M,55+,11946
1000424,P00246142,M,26-35,15802
1000435,P00305142,M,26-35,11914
1000438,P00112642,M,18-25,18999
1000442,P00112142,M,26-35,19413
1000444,P00121342,M,55+,15894
1000456,P00059642,M,36-45,11902
1000471,P00032042,M,36-45,8298
1000477,P00010742,M,36-45,19696
1000496,P00334242,M,18-25,19169
1000520,P00127942,F,36-45,7828
1000524,P00128942,M,18-25,19607
1000533,P00036842,M,26-35,11490
1000549,P00144642,M,26-35,19126
1000557,P00127642,M,55+,15860
1000563,P00206442,M,26-35,12074
1000566,P00117042,M,26-35,15584
1000570,P00355142,M,26-35,15362
1000583,P00351342,F,26-35,15596
1000585,P00361942,M,18-25,19598
1000595,P00037142,M,26-35,11576
1000620,P00127942,M,18-25,11734
1000663,P00044442,F,26-35,19564
1000673,P00351142,M,26-35,4279
1000694,P00242742,M,18-25,8083
1000695,P00338442,F,18-25,11917
1000698,P00110942,M,18-25,15451
1000710,P00214242,M,26-35,11619
1000711,P00105342,M,26-35,11786
1000735,P00243942,M,26-35,19539
1000752,P00004242,F,26-35,11502
1000757,P00120042,M,26-35,19396
1000774,P00110942,M,18-25,19565
1000783,P00304442,M,26-35,11886
1000819,P00145042,M,36-45,11570
1000820,P00025442,M,36-45,18986
1000830,P00329542,M,36-45,11379
1000836,P00113142,M,26-35,4501
1000839,P00184942,M,26-35,19010
1000880,P00129342,M,36-45,11514
1000881,P00112142,M,18-25,15241
1000889,P00146742,M,46-50,11616
1000908,P00242742,F,51-55,8196
1000925,P00339842,F,36-45,11385
1000929,P00329542,M,26-35,15429
1000934,P00145642,F,36-45,11984
1000961,P00335442,M,18-25,11810
1000979,P00062842,M,0-17,19454
1001010,P00318742,M,26-35,8294
1001018,P00243942,M,18-25,15250
1001044,P00080342,M,26-35,19700
1001069,P00010742,M,26-35,7610
1001077,P00080342,M,26-35,19041
1001079,P00113342,M,26-35,19059
1001086,P00237542,M,18-25,19701
1001088,P00334242,F,0-17,15631
1001097,P00303342,M,18-25,15189
1001101,P00346342,M,36-45,11743
1001112,P00112142,M,18-25,15186
1001114,P00249742,F,18-25,3847
1001128,P00318742,M,26-35,12077
1001150,P00162242,F,26-35,11833
1001173,P00309142,F,26-35,8299
1001203,P00073842,F,26-35,15436
1001211,P00037142,M,18-25,11482
1001217,P00237542,M,26-35,15229
1001220,P00115142,M,0-17,12012
1001246,P00262242,M,18-25,18981
1001264,P00112542,M,26-35,15224
1001279,P00112142,M,36-45,15358
1001286,P00334642,M,36-45,4123
1001291,P00351342,F,36-45,11804
1001297,P00145042,M,26-35,11523
1001303,P00002142,M,26-35,3812
1001320,P00304242,M,26-35,18986
1001322,P00110842,M,55+,18994
1001328,P00110942,M,36-45,19390
1001333,P00088042,M,26-35,19114
1001340,P00034042,M,26-35,3951
1001364,P00361942,F,46-50,7925
1001373,P00046742,F,26-35,15858
1001383,P00112542,F,26-35,15771
1001421,P00248942,F,0-17,11421
1001434,P00267542,F,0-17,19346
1001447,P00249542,M,18-25,15183
1001448,P00243942,F,26-35,15501
1001496,P00198742,M,26-35,12056
1001498,P00120042,M,18-25,15299
1001501,P00142142,M,26-35,15205
1001503,P00105342,M,26-35,15305
1001504,P00000642,M,18-25,15516
1001545,P00113342,M,26-35,15818
1001579,P00127242,M,26-35,15624
1001599,P00111142,M,26-35,19079
1001606,P00145042,F,36-45,19564
1001613,P00351142,M,18-25,15572
1001644,P00351142,M,18-25,11532
1001681,P00201442,M,18-25,19243
1001687,P00010742,M,26-35,11624
1001699,P00113242,F,26-35,19515
1001710,P00338542,M,18-25,15777
1001787,P00034042,M,18-25,11682
1001802,P00110842,M,18-25,12019
1001817,P00169742,M,36-45,7857
1001838,P00338442,M,36-45,15816
1001843,P00338442,M,26-35,11573
1001867,P00006942,M,51-55,7735
1001875,P00335442,M,36-45,4513
1001905,P00080342,F,36-45,19318
1001930,P00127442,M,26-35,11643
1001932,P00044442,M,26-35,12074
1001941,P00262242,M,36-45,4263
1001980,P00062842,M,36-45,11571
1001983,P00274142,M,26-35,19454
1002029,P00113142,F,26-35,15322
1002031,P00198742,M,36-45,11651
1002063,P00037142,M,26-35,11894
1002075,P00249542,F,26-35,11750
1002189,P00352142,M,0-17,15261
1002195,P00241642,M,0-17,19662
1002239,P00233542,M,18-25,19192
1002242,P00251942,M,18-25,15683
1002251,P00270942,M,36-45,15333
1002271,P00110942,M,51-55,19593
1002281,P00338442,M,46-50,11454
1002306,P00036842,F,18-25,7907
